,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
365,xinyu,27.8043,114.9334,60.08,92,96,3.76,CN,1617405360
366,yanam,16.7333,82.2167,77.85,97,68,4.41,IN,1617405360
367,linfen,36.0889,111.5189,50.97,79,99,3.56,CN,1617405360
368,buluang,13.3068,123.3425,76.64,81,53,2.95,PH,1617405360
369,araceli,10.5529,119.9913,83.14,70,65,15.59,PH,1617405361
370,deputatskiy,69.3,139.9,-8.12,99,100,3.44,RU,1617405361
371,ivanava,52.1451,25.5365,36.34,59,29,4.72,BY,1617405361
372,jiwani,25.05,61.7417,79.56,62,0,8.77,PK,1617405362
373,whitehorse,60.7161,-135.0538,30.2,40,20,4.61,CA,1617405362
374,xingyi,24.1877,102.817,54.3,40,0,2.57,CN,1617405362
375,malakal,9.5334,31.6605,86.49,14,78,7.52,SS,1617405363
376,gamba,-2.65,10.0,78.48,86,99,3.15,GA,1617405363
377,alice springs,27.7523,-98.0697,75.2,40,1,16.11,US,1617405363
378,aldan,58.6031,125.3894,3.79,95,100,2.26,RU,1617405364
379,sangar,63.9242,127.4739,-13.95,99,100,0.54,RU,1617405364
380,kununurra,-15.7667,128.7333,77.0,73,100,9.22,AU,1617405364
381,luganville,-15.5333,167.1667,84.76,70,100,4.0,VU,1617405365
382,kloulklubed,7.0419,134.2556,82.4,78,75,4.61,PW,1617405365
383,hazleton,40.9584,-75.9746,35.01,27,1,12.66,US,1617405365
384,manta,-0.95,-80.7333,80.6,78,75,9.22,EC,1617405366
385,zainsk,55.3195,52.0694,35.6,75,0,17.9,RU,1617405324
386,kaarina,60.4072,22.369,35.01,80,0,5.75,FI,1617405182
387,port-cartier,50.0334,-66.8654,28.99,74,75,10.36,CA,1617405366
388,ostersund,63.1792,14.6357,28.99,80,70,13.8,SE,1617405366
389,flinders,-34.5833,150.8552,71.01,82,0,1.99,AU,1617405367
390,visby,57.6409,18.296,35.01,93,90,12.08,SE,1617405367
391,kutum,14.2,24.6667,67.8,17,3,13.8,SD,1617405367
392,sironko,1.2313,34.2477,65.44,87,85,3.27,UG,1617405368
393,presidente prudente,-29.9461,-50.1113,69.22,82,92,11.61,BR,1617405368
394,ylivieska,64.0833,24.55,33.01,90,79,7.0,FI,1617405368
395,yakovlevka,44.425,133.4772,40.71,77,100,4.03,RU,1617405369
396,mulatupo,8.9492,-77.7652,79.39,87,100,12.35,PA,1617405369
397,port-gentil,-0.7193,8.7815,78.8,94,20,4.61,GA,1617405369
398,bronnoysund,65.4625,12.1997,33.8,93,75,6.91,NO,1617405370
399,saint-louis,16.3333,-15.0,91.4,29,0,8.14,SN,1617405370
400,oume,35.7839,139.2431,61.0,72,1,4.23,JP,1617405370
401,bubaque,11.2833,-15.8333,76.15,80,2,18.68,GW,1617405371
402,luderitz,-26.6481,15.1594,69.8,49,0,14.83,NA,1617405371
403,kaitangata,-46.2817,169.8464,53.01,62,89,4.0,NZ,1617405371
404,ordu,40.9086,37.6845,46.4,100,75,5.03,TR,1617405372
405,nam tha,29.424,90.9129,32.77,50,2,3.96,CN,1617405372
406,port hedland,-7.0349,29.7638,71.92,78,1,5.28,CD,1617405372
407,carroll,39.5501,-77.0164,41.0,30,95,3.0,US,1617405373
408,cabedelo,-6.9811,-34.8339,78.8,89,0,4.61,BR,1617405373
409,lucapa,-8.4192,20.7447,66.61,95,63,1.3,AO,1617405373
410,zalantun,48.0,122.7167,31.32,27,0,16.35,CN,1617405373
411,teterow,53.7833,12.5667,41.0,75,20,10.36,DE,1617405374
412,levelland,33.5873,-102.378,69.8,28,20,21.85,US,1617405374
413,moree,-29.4667,149.85,69.8,56,79,9.22,AU,1617405375
414,tawau,4.2498,117.8871,75.2,94,20,1.14,MY,1617405375
415,upernavik,72.7868,-56.1549,-15.66,98,100,7.78,GL,1617405375
416,scarborough,54.2797,-0.4044,42.01,79,4,4.0,GB,1617405376
417,san cristobal,13.3034,-4.8956,86.32,7,8,9.53,ML,1617405161
418,kashi,39.4547,75.9797,37.4,87,75,4.47,CN,1617405376
419,polis,35.0367,32.4264,59.0,72,75,12.66,CY,1617405376
420,bentiu,9.2333,29.8333,81.95,16,20,5.55,SS,1617405377
421,astana,51.1801,71.446,12.2,85,0,7.27,KZ,1617405377
422,nanortalik,60.1432,-45.2371,35.67,98,100,0.29,GL,1617405377
423,campo gobierno,41.1852,-8.4649,57.2,94,20,1.14,PT,1617405378
424,riverton,40.5219,-111.9391,73.99,28,1,14.97,US,1617405350
425,lagoa,39.05,-27.9833,60.71,83,100,28.61,PT,1617405378
426,goma,-1.6792,29.2228,64.4,94,90,4.61,CD,1617405378
427,tokur,53.1333,132.9,18.27,90,100,15.03,RU,1617405379
428,kimbe,-5.5502,150.1429,78.28,90,99,1.88,PG,1617405379
429,mazyr,52.0495,29.2456,35.29,70,69,4.99,BY,1617405379
430,olafsvik,64.8945,-23.7142,41.54,91,83,21.56,IS,1617405380
431,pontal do parana,-21.0225,-48.0372,75.2,53,0,8.01,BR,1617405380
432,alyangula,-13.8483,136.4192,82.27,63,76,9.6,AU,1617405380
433,hay river,52.0705,-3.1274,42.01,78,2,1.01,GB,1617405381
434,tilichiki,60.4667,166.1,10.99,78,82,5.84,RU,1617405381
435,port macquarie,-7.0349,29.7638,71.92,78,1,5.28,CD,1617405381
436,muli,2.9167,73.5667,82.81,76,15,15.1,MV,1617405382
437,gadwal,16.2333,77.8,81.97,19,27,7.61,IN,1617405382
438,hovd,48.0056,91.6419,25.41,37,0,3.27,MN,1617405382
439,camopi,3.1655,-52.3158,71.6,99,100,2.55,GF,1617405382
440,gorontalo,0.5412,123.0595,78.55,91,86,2.95,ID,1617405383
441,makubetsu,45.3714,141.8211,43.34,63,100,21.74,JP,1617405383
442,markova,48.6758,24.4138,34.16,80,33,3.98,UA,1617405383
443,ivybridge,50.3904,-3.9191,46.0,66,0,10.0,GB,1617405384
444,inuvik,68.3499,-133.7218,-0.4,50,100,3.56,CA,1617405384
445,batesville,35.7698,-91.641,55.4,35,1,9.22,US,1617405385
446,tsiroanomandidy,-18.7667,46.0333,63.48,90,7,3.06,MG,1617405385
447,jatai,-17.8814,-51.7144,68.86,80,29,1.41,BR,1617405385
448,matangad,8.5769,124.37,79.99,80,100,3.06,PH,1617405385
449,creel,27.75,-107.6333,69.78,20,39,20.85,MX,1617405386
450,hofn,64.2539,-15.2082,43.81,60,2,8.66,IS,1617405386
451,santa rosa,17.486,120.4348,79.48,67,10,4.21,PH,1617405245
452,plettenberg bay,51.2167,7.8833,41.0,77,87,4.0,DE,1617405386
453,araguaina,-7.1911,-48.2072,74.44,91,26,2.39,BR,1617405387
454,beringovskiy,63.05,179.3167,8.71,85,99,13.76,RU,1617405387
455,balezino,57.9796,53.0106,35.22,87,100,13.8,RU,1617405387
456,sakakah,29.9697,40.2064,55.4,38,0,19.57,SA,1617405388
457,navahrudak,53.6,25.8333,33.85,84,89,5.7,BY,1617405388
458,nizwa,22.9333,57.5333,76.37,23,24,1.79,OM,1617405389
459,oistins,13.0667,-59.5333,78.8,57,20,17.27,BB,1617405126
460,fort nelson,52.6517,6.3861,41.0,80,15,1.99,NL,1617405389
461,keti bandar,40.8737,43.8448,26.6,80,20,2.3,AM,1617405389
462,maua,-23.6678,-46.4614,64.99,82,75,10.36,BR,1617405390
463,coihaique,-45.5752,-72.0662,57.2,67,75,3.44,CL,1617405390
464,ziro,27.6333,93.8333,41.63,90,33,3.0,IN,1617405390
465,dunedin,-45.8742,170.5036,54.0,66,58,8.99,NZ,1617405391
466,nadym,65.5333,72.5167,27.3,97,100,8.01,RU,1617405243
467,hamilton,39.1834,-84.5333,48.2,23,1,4.61,US,1617405203
468,luwuk,-0.9516,122.7875,81.36,74,91,1.57,ID,1617405391
469,victor harbor,42.9826,-77.4089,36.0,35,0,1.99,US,1617405392
470,xuddur,4.1213,43.8894,76.17,70,61,14.36,SO,1617405392
471,cap malheureux,49.2718,-1.2104,45.0,75,90,14.97,FR,1617405392
472,kachiry,53.0675,76.1036,21.61,87,80,11.18,KZ,1617405393
473,ishigaki,24.3448,124.1572,75.2,100,40,2.3,JP,1617405393
474,luanda,-8.8368,13.2343,80.6,89,75,6.91,AO,1617405219
475,haapiti,-17.5667,-149.8667,89.6,58,40,4.61,PF,1617405394
476,tambacounda,13.7539,-13.7586,93.2,46,0,4.61,SN,1617405394
477,linxia,35.6003,103.2064,35.17,99,100,1.95,CN,1617405394
478,polyarnyy,69.1989,33.4478,26.6,93,40,2.24,RU,1617405395
479,barnstaple,51.0802,-4.0581,44.01,76,2,4.0,GB,1617405395
480,kamenka,51.3223,42.7678,42.01,69,61,9.4,RU,1617405395
481,qarayeri,40.7886,46.3066,50.0,62,40,13.8,AZ,1617405395
482,villa maria,46.2039,10.1339,51.01,46,2,8.03,IT,1617405396
483,chumikan,54.7183,135.315,27.95,95,100,21.63,RU,1617405396
484,lake cowichan,42.3334,-88.0006,48.99,42,1,11.5,US,1617405303
485,elliot lake,-31.3333,27.85,51.67,95,100,3.33,ZA,1617405397
486,solnechnyy,50.7214,136.6319,41.65,75,59,6.46,RU,1617405397
487,skelleftea,64.7507,20.9528,32.0,64,8,9.22,SE,1617405397
488,valparaiso,-33.0393,-71.6273,59.0,77,0,9.22,CL,1617405391
489,maniitsoq,65.4167,-52.9,8.24,79,98,6.53,GL,1617405398
490,owando,-0.4819,15.8999,71.13,96,100,4.65,CG,1617405398
491,labuhan,-6.8844,112.2051,78.1,86,67,4.12,ID,1617405398
492,verkhnevilyuysk,63.4453,120.3167,-13.67,96,55,6.17,RU,1617405399
493,yeppoon,-23.1333,150.7333,75.2,64,90,11.5,AU,1617405399
494,bahia blanca,-12.0,-42.0,72.48,65,96,2.42,BR,1617405399
495,mabama,-5.1333,32.5333,69.8,83,75,4.12,TZ,1617405400
496,axim,4.8699,-2.2405,79.29,90,56,8.97,GH,1617405400
497,soto la marina,-32.8107,-61.4026,66.99,61,34,1.99,AR,1617405400
498,gewane,10.1664,40.6453,76.28,23,3,1.21,ET,1617405375
499,bay saint louis,43.7334,-84.0166,46.4,27,1,10.36,US,1617405401
500,puerto palomas,36.5939,-6.233,59.0,88,0,3.44,ES,1617405177
501,figeac,44.75,1.9167,53.6,76,0,2.3,FR,1617405401
502,port moresby,-7.0349,29.7638,71.92,78,1,5.28,CD,1617405186
503,colares,38.7992,-9.4469,59.0,80,90,4.0,PT,1617405401
504,bonthe,7.5264,-12.505,79.45,87,69,4.83,SL,1617405402
505,mahina,-17.5065,-149.489,89.6,58,40,4.61,PF,1617405402
506,tsabong,-26.0217,22.401,78.35,32,24,4.65,BW,1617405403
507,mandalgovi,45.7625,106.2708,28.06,39,15,8.75,MN,1617405187
508,esperance,-33.8667,121.9,64.4,88,90,9.22,AU,1617405403
509,kapoeta,4.7717,33.5903,79.48,53,75,3.13,SS,1617405403
510,micheweni,-4.9667,39.8333,78.78,86,77,12.41,TZ,1617405404
511,bandarbeyla,9.4942,50.8122,76.91,78,7,4.09,SO,1617405404
512,cizre,37.3272,42.1903,50.0,76,75,9.22,TR,1617405404
513,harper,4.375,-7.7169,78.84,89,50,8.01,LR,1617405405
514,liverpool,53.4106,-2.9779,46.4,71,6,6.91,GB,1617405181
515,iqaluit,63.7506,-68.5145,-7.6,64,1,2.44,CA,1617405405
516,taoudenni,22.6783,-3.9836,88.61,8,59,9.15,ML,1617405405
517,moerai,-22.4333,-151.3333,80.06,70,37,17.54,PF,1617405406
518,moose factory,43.6558,-110.7183,55.4,28,1,9.22,US,1617405406
519,archidona,37.0965,-4.3887,63.0,66,20,13.0,ES,1617405406
520,muravlenko,63.7898,74.523,27.3,97,100,7.38,RU,1617405407
521,hokitika,-42.7167,170.9667,57.56,67,93,5.88,NZ,1617405407
522,natal,-5.795,-35.2094,80.6,78,20,6.91,BR,1617405256
523,coquimbo,-29.9533,-71.3436,59.0,82,0,6.91,CL,1617405280
524,nabinagar,23.8917,90.9733,84.2,70,75,8.05,BD,1617405211
525,jalu,29.0331,21.5482,61.25,31,0,6.15,LY,1617405408
526,chitral,35.8462,71.7858,37.27,41,0,10.33,PK,1617405408
527,tytuvenai,55.6,23.2,30.2,93,20,6.91,LT,1617405408
528,klaksvik,62.2266,-6.589,42.8,87,75,17.27,FO,1617405409
529,asfi,32.2994,-9.2372,59.07,86,36,15.99,MA,1617405409
530,marsh harbour,53.6512,-1.8078,42.01,83,5,5.01,GB,1617405409
531,kochevo,59.5994,54.3125,32.0,99,100,4.32,RU,1617405410
532,novikovo,51.1537,37.8879,42.91,91,100,6.67,RU,1617405410
533,tall kayf,46.7397,11.2269,51.01,34,6,7.09,IT,1617405410
534,khash,28.2211,61.2158,64.96,17,0,3.27,IR,1617405411
535,santa vitoria do palmar,17.486,120.4348,79.48,67,10,4.21,PH,1617405411
536,sisimiut,66.9395,-53.6735,7.09,80,90,5.37,GL,1617405411
537,santa maria,17.486,120.4348,79.48,67,10,4.21,PH,1617405251
538,healdsburg,38.6105,-122.8692,72.0,45,40,9.22,US,1617405360
539,uray,60.1247,64.7758,27.37,95,92,5.84,RU,1617405412
540,sorland,67.667,12.6934,37.49,61,100,17.45,NO,1617405412
541,san jeronimo,13.3034,-4.8956,86.32,7,8,9.53,ML,1617405161
542,bar harbor,49.0772,27.6826,35.56,79,10,6.55,UA,1617405412
543,mani,4.8172,-72.2886,81.28,62,94,1.19,CO,1617405413
544,sao joao da barra,20.5113,76.2129,76.48,25,2,7.92,IN,1617405413
545,bismarck,46.8083,-100.7837,71.6,14,1,14.97,US,1617405160
546,petropavlovsk-kamchatskiy,53.0452,158.6483,32.0,55,4,11.18,RU,1617405413
547,college,64.8569,-147.8028,12.99,56,75,2.57,US,1617405414
548,merke,42.8728,73.1786,32.34,41,0,8.05,KZ,1617405414
549,matamoros,25.5333,-103.25,87.8,23,75,9.22,MX,1617405414
550,kemijarvi,66.7131,27.4306,24.42,98,95,2.24,FI,1617405415
551,zharkovskiy,55.849,32.2697,29.57,95,100,3.13,RU,1617405415
552,bukama,-9.2,25.85,68.04,95,5,1.92,CD,1617405415
553,jumla,29.2747,82.1838,35.83,31,0,7.7,NP,1617405416
554,nicosia,35.1667,33.3667,50.0,71,0,8.05,CY,1617405416
555,akyab,20.15,92.9,76.41,85,0,5.08,MM,1617405416
556,skibbereen,51.55,-9.2667,42.8,87,20,6.91,IE,1617405417
557,osakarovka,50.565,72.5692,11.7,94,47,6.35,KZ,1617405417
558,banda aceh,25.4833,80.3333,73.85,8,0,7.27,IN,1617405417
559,itoman,26.1247,127.6694,73.4,94,75,4.61,JP,1617405418
560,betioky,-23.7167,44.3833,68.58,69,1,4.07,MG,1617405418
561,sao felix do xingu,20.5113,76.2129,76.48,25,2,7.92,IN,1617405418
562,linqiong,30.4159,103.4609,55.4,100,87,4.47,CN,1617405419
563,teguldet,57.3064,88.1667,28.76,96,100,10.89,RU,1617405419
564,aligudarz,33.4006,49.6949,51.82,52,1,17.52,IR,1617405304
565,kawhia,-38.0651,174.8183,69.01,35,22,1.99,NZ,1617405419
566,statesboro,32.4488,-81.7832,57.2,24,1,3.44,US,1617405227
